1930	100.00000	100.00000	100.00000	1
1940	0.00000	5.95000	13.05000	3
1950	2.78000	15.59250	34.96250	4
1960	1.13500	17.90500	34.67500	4
1970	0.00000	12.73800	30.68600	5
1980	14.04111	23.58000	35.13769	9
1990	7.54125	15.00526	24.03738	19
2000	13.49795	17.82957	22.74189	47
2010	15.99469	20.66237	25.69953	76
2020	17.58331	24.86949	32.87324	39
