movie_id	imdb_id	movie_name	imdb_date	production_companies	franchise	% screentime, female (all)	% screentime, female (human)	% screentime, female (animal/other)
pokmon.the.firs_tt0190641	tt0190641	Pokémon: The First Movie - Mewtwo Strikes Back	1998	Oriental Light and Magic (OLM); Shogakukan Production; Tomy	Pokémon	40.23	42.54	36.61
prince.of.egypt_tt0120794	tt0120794	The Prince of Egypt	1998	DreamWorks Pictures; DreamWorks Feature Animation; DreamWorks Animation		31.76	31.76	
rugrats.movie_tt0134067	tt0134067	The Rugrats Movie	1998	Paramount Pictures; Nickelodeon Movies; Klasky-Csupo	Rugrats	37.91	38.59	0.00
fantasia.2000_tt0120910	tt0120910	Fantasia 2000	1999	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Disney	11.95		11.95
south.park.bigg_tt0158983	tt0158983	South Park: Bigger, Longer & Uncut	1999	Paramount Pictures; Warner Bros.; Comedy Central	South Park	22.40	23.22	0.00
tarzan_tt0120855	tt0120855	Tarzan	1999	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Tarzan	44.14	30.30	65.37
toy.story.2_tt0120363	tt0120363	Toy Story 2	1999	Walt Disney Pictures; Pixar Animation Studios	Toy Story	16.98	23.87	4.83
chicken.run_tt0120630	tt0120630	Chicken Run	2000	Aardman Animations; DreamWorks Pictures; Pathé	Chicken Run	57.28	51.46	57.99
dinosaur_tt0130623	tt0130623	Dinosaur	2000	Walt Disney Pictures; The Secret Lab (TSL); Walt Disney Animation Studios	Dinosaur	37.60		37.60
road.to.el.dora_tt0138749	tt0138749	The Road to El Dorado	2000	DreamWorks Pictures; DreamWorks Feature Animation; DreamWorks Animation	Road to El Dorado	14.29	14.29	
atlantis.the.lo_tt0230011	tt0230011	Atlantis: The Lost Empire	2001	Walt Disney Pictures; Eastman Film; Walt Disney Animation Studios	Atlantis: The Lost Empire	26.67	26.67	
monsters.inc._tt0198781	tt0198781	Monsters, Inc.	2001	Walt Disney Pictures; Pixar Animation Studios	Monsters, Inc.	13.48	100.00	4.85
shrek_tt0126029	tt0126029	Shrek	2001	DreamWorks Animation; DreamWorks Pictures; PDI DreamWorks	Shrek	22.96	58.84	3.29
ice.age_tt0268380	tt0268380	Ice Age	2002	20th Century Fox; Blue Sky Studios; 20th Century Fox Animation	Ice Age	22.26		22.26
lilo..stitch_tt0275847	tt0275847	Lilo & Stitch	2002	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation Florida	Lilo & Stitch	52.40	67.76	15.34
spirit.stallion_tt0166813	tt0166813	Spirit: Stallion of the Cimarron	2002	DreamWorks Pictures; DreamWorks Animation; DreamWorks Feature Animation	Spirit: Stallion of the Cimarron	16.49	0.00	22.91
brother.bear_tt0328880	tt0328880	Brother Bear	2003	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation Florida	Brother Bear	7.22	20.94	2.21
finding.nemo_tt0266543	tt0266543	Finding Nemo	2003	Walt Disney Pictures; Pixar Animation Studios	Finding Nemo	30.88	61.09	29.74
incredibles_tt0317705	tt0317705	The Incredibles	2004	Walt Disney Pictures; Pixar Animation Studios	Incredibles	43.20	43.20	
polar.express_tt0338348	tt0338348	The Polar Express	2004	Castle Rock Entertainment; Shangri-La Entertainment; Playtone	Polar Express	19.15	19.15	
shark.tale_tt0307453	tt0307453	Shark Tale	2004	DreamWorks Animation	Shark Tale	21.26		21.26
shrek.2_tt0298148	tt0298148	Shrek 2	2004	DreamWorks Pictures; DreamWorks Animation; PDI DreamWorks	Shrek	31.54	43.82	21.64
spongebob.squar_tt0345950	tt0345950	The SpongeBob SquarePants Movie	2004	Paramount Pictures; Nickelodeon Movies; United Plankton Pictures	SpongeBob SquarePants	10.39		10.39
chicken.little_tt0371606	tt0371606	Chicken Little	2005	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Chicken Little	18.51		18.51
corpse.bride_tt0121164	tt0121164	Corpse Bride	2005	Warner Bros.; Tim Burton Productions; Laika Entertainment		43.24	42.43	59.10
madagascar_tt0351283	tt0351283	Madagascar	2005	DreamWorks Animation; PDI DreamWorks	Madagascar	13.05	100.00	12.70
robots_tt0358082	tt0358082	Robots	2005	20th Century Fox Animation; Blue Sky Studios	Robots	32.51		32.51
wallace..gromit_tt0312004	tt0312004	Wallace & Gromit: The Curse of the Were-Rabbit	2005	DreamWorks Animation; Aardman Animations	Wallace and Gromit	19.88	27.47	0.00
barnyard_tt0414853	tt0414853	Barnyard	2006	Paramount Pictures; Nickelodeon Movies; O Entertainment	Barnyard	19.89	38.74	18.61
cars_tt0317219	tt0317219	Cars	2006	Walt Disney Pictures; Pixar Animation Studios	Cars	31.20		31.20
flushed.away_tt0424095	tt0424095	Flushed Away	2006	DreamWorks Animation; Aardman Animations	Flushed Away	22.15		22.15
happy.feet_tt0366548	tt0366548	Happy Feet	2006	Warner Bros.; Village Roadshow Pictures; Kennedy Miller Productions	Happy Feet	23.20		23.20
ice.age.the.mel_tt0438097	tt0438097	Ice Age: The Meltdown	2006	20th Century Fox Animation; Blue Sky Studios	Ice Age	15.63		15.63
monster.house_tt0385880	tt0385880	Monster House	2006	Columbia Pictures; Relativity Media; ImageMovers	Monster House	25.08	25.08	
open.season_tt0400717	tt0400717	Open Season	2006	Columbia Pictures; Sony Pictures Animation	Open Season	14.11	46.73	5.06
over.the.hedge_tt0327084	tt0327084	Over the Hedge	2006	DreamWorks Animation	Over the Hedge	22.69	56.42	20.09
alvin.and.the.c_tt0952640	tt0952640	Alvin and the Chipmunks	2007	Fox 2000 Pictures; Regency Enterprises; Bagdasarian Productions	Alvin And The Chipmunks	0.00		0.00
bee.movie_tt0389790	tt0389790	Bee Movie	2007	DreamWorks Animation; Columbus 81 Productions	Bee Movie	23.74	46.38	11.56
beowulf_tt0442933	tt0442933	Beowulf	2007	Shangri-La Entertainment; ImageMovers	Beowulf	24.58	25.00	0.00
enchanted_tt0461770	tt0461770	Enchanted	2007	Walt Disney Pictures; Josephson Entertainment; Andalasia Productions	Enchanted	56.67	78.59	13.96
meet.the.robins_tt0396555	tt0396555	Meet the Robinsons	2007	Walt Disney Pictures; Walt Disney Animation Studios	Meet the Robinsons	13.02	13.85	0.00
ratatouille_tt0382932	tt0382932	Ratatouille	2007	Walt Disney Pictures; Pixar Animation Studios	Ratatouille	11.52	17.00	0.00
shrek.the.third_tt0413267	tt0413267	Shrek the Third	2007	DreamWorks Animation; Pacific Data Images (PDI)	Shrek	29.25	37.81	19.50
simpsons.movie_tt0462538	tt0462538	The Simpsons Movie	2007	20th Century Fox; Gracie Films; The Curiosity Company	Simpsons	25.08	25.73	0.00
surfs.up_tt0423294	tt0423294	Surf's Up	2007	Columbia Pictures; Sony Pictures Animation	Surf's Up	19.15		19.15
tmnt_tt0453556	tt0453556	TMNT	2007	Imagi Animation Studios; The Weinstein Company; Warner Bros.	Teenage Mutant Ninja Turtles	14.97	44.04	0.00
