movie_id	imdb_id	movie_name	imdb_date	production_companies	franchise	% screentime, female (all)	% screentime, female (human)	% screentime, female (animal/other)
smurfs.2_tt2017020	tt2017020	The Smurfs 2	2013	Columbia Pictures; Sony Pictures Animation; Hemisphere Media Capital	Smurfs	36.40	100.00	22.51
turbo_tt1860353	tt1860353	Turbo	2013	DreamWorks Animation	Turbo	12.25	16.08	7.69
big.hero.6_tt2245084	tt2245084	Big Hero 6	2014	Walt Disney Pictures; Walt Disney Animation Studios	Big Hero 6	23.51	25.68	0.00
how.to.train.yo_tt1646971	tt1646971	How to Train Your Dragon 2	2014	DreamWorks Animation; Mad Hatter Entertainment	How to Train Your Dragon	27.88	30.23	13.23
lego.movie_tt1490017	tt1490017	The Lego Movie	2014	Warner Bros.; Village Roadshow Pictures; RatPac-Dune Entertainment	LEGO Movie	28.67	22.40	65.74
mr..peabody..sh_tt0864835	tt0864835	Mr. Peabody & Sherman	2014	Bullwinkle Studios; Classic Media Productions; DreamWorks Animation	Rocky and Bullwinkle	24.31	31.91	0.00
nut.job_tt1821658	tt1821658	The Nut Job	2014	Endgame Entertainment; Gulfstream Pictures; Open Road Films (II)	Nut Job	28.42	16.10	30.95
penguins.of.mad_tt1911658	tt1911658	Penguins of Madagascar	2014	DreamWorks Animation; Pacific Data Images (PDI)	Madagascar	7.90	21.36	7.35
rio.2_tt2357291	tt2357291	Rio 2	2014	20th Century Fox Animation; Blue Sky Studios; FortyFour Studios	Rio	36.15	45.63	34.14
tmnt_2014	tt1291150	Teenage Mutant Ninja Turtles	2014	Paramount Pictures; Nickelodeon Movies; Platinum Dunes	Teenage Mutant Ninja Turtles	0.00	0.00	0.00
good.dinosaur_tt1979388	tt1979388	The Good Dinosaur	2015	Walt Disney Pictures; Pixar Animation Studios	Good Dinosaur	12.76	0.00	15.40
home_tt2224026	tt2224026	Home	2015	DreamWorks Animation	Home	37.28	98.83	0.00
hotel.transylva_tt2510894	tt2510894	Hotel Transylvania 2	2015	Columbia Pictures; Sony Pictures Animation; LStar Capital	Hotel Transylvania	22.66	24.45	12.89
inside.out_tt2096673	tt2096673	Inside Out	2015	Walt Disney Pictures; Pixar Animation Studios	Inside Out	71.39	76.66	70.20
