movie_id	year	ratio_all	ratio_fem	ratio_all_human	ratio_fem_human
ice.age_tt0268380	2002	0.011931	0.036281	0.000000	
imaginary.frien_tt11152168	2024	0.038496	0.200000	0.000000	
incredibles.2_tt3606756	2018	0.233554	0.326909	0.233554	0.326909
incredibles_tt0317705	2004	0.151122	0.308554	0.151122	0.308554
inside.out.2_tt22022452	2024	0.694915	0.784400	0.141460	0.384752
inside.out_tt2096673	2015	0.585048	0.649657	0.112483	0.374429
jungle.book_tt0061852	1967	0.000000	0.000000	0.000000	0.000000
jungle_book	2016	0.000000	0.000000	0.000000	
king.of.kings_tt7967302	2025	0.045221	0.141935	0.045221	0.141935
kung.fu.panda.2_tt1302011	2011	0.107505	0.270869	0.000000	
kung.fu.panda.3_tt2267968	2016	0.212725	0.514774	0.000000	
kung.fu.panda.4_tt21692408	2024	0.093471	0.180611	0.000000	
kung.fu.panda_tt0441773	2008	0.076593	0.353135	0.000000	
lady.and.the.tr_tt0048280	1955	0.056443	0.090753	0.000000	0.000000
land.before.tim_tt0095489	1988	0.129848	0.202632	0.000000	
lego.batman.mov_tt4116284	2017	0.077594	0.227151	0.077594	0.227151
lego.movie.2.th_tt3513498	2019	0.134799	0.276200	0.050669	0.126492
lego.movie_tt1490017	2014	0.059678	0.176651	0.001038	0.004016
lego.ninjago.mo_tt3014284	2017	0.030086	0.106599	0.030086	0.106599
lightyear_tt10298810	2022	0.085163	0.249216	0.079807	0.256897
lilo..stitch_tt0275847	2002	0.358705	0.460674	0.349956	0.511509
lion.king_tt0110357	1994	0.107143	0.286047	0.000000	
lion.king_tt6105098	2019	0.090778	0.231618	0.000000	
little.mermaid_tt0097757	1989	0.116386	0.190238	0.080398	0.136187
lorax_tt1482459	2012	0.119938	0.280510	0.119159	0.386364
lord.of.the.rin_tt0077869	1978	0.000000	0.000000	0.000000	0.000000
madagascar.3.eu_tt1277953	2012	0.090184	0.183980	0.000000	0.000000
madagascar.esca_tt0479952	2008	0.029762	0.082742	0.000000	
madagascar_tt0351283	2005	0.001797	0.005666	0.000000	0.000000
meet.the.robins_tt0396555	2007	0.056132	0.217494	0.056132	0.217494
megamind_tt1001526	2010	0.000000	0.000000	0.000000	0.000000
migration_tt6495056	2023	0.405631	0.587613	0.000000	
minions.the.ris_tt5113044	2022	0.026005	0.125000	0.026005	0.125000
minions_tt2293640	2015	0.069231	0.204030	0.069231	0.204030
moana_tt13622970	2024	0.364221	0.476832	0.364221	0.476832
moana_tt3521164	2016	0.175683	0.230769	0.175683	0.230769
monster.house_tt0385880	2006	0.043836	0.078303	0.043836	0.078303
monsters.inc._tt0198781	2001	0.012482	0.034343	0.000000	0.000000
monsters.univer_tt1453405	2013	0.023311	0.105121	0.000000	
monsters.vs..al_tt0892782	2009	0.072951	0.119143	0.072951	0.119143
mr..peabody..sh_tt0864835	2014	0.135544	0.272069	0.135544	0.272069
mufasa.the.lion_tt13186482	2024	0.157779	0.323838	0.000000	
mulan_tt0120762	1998	0.117877	0.187578	0.117877	0.187578
nightmare.befor_tt0107688	1993	0.015666	0.040541	0.000000	0.000000
nut.job_tt1821658	2014	0.110956	0.235207	0.001396	0.032258
oliver..company_tt0095776	1988	0.075905	0.176955	0.000000	0.000000
one.hundred.and_tt0055254	1961	0.140509	0.256372	0.041906	0.149123
onward_tt7146812	2020	0.082261	0.302469	0.020705	0.091133
open.season_tt0400717	2006	0.035461	0.120482	0.004433	0.024631
over.the.hedge_tt0327084	2006	0.242272	0.516871	0.020129	0.185430
paw.patrol.the._tt11832046	2021	0.082418	0.253012	0.033752	0.277419
paw.patrol.the._tt15837338	2023	0.247396	0.349693	0.013021	0.053763
peanuts.movie_tt2452042	2015	0.260870	0.497959	0.255167	0.586885
penguins.of.mad_tt1911658	2014	0.000000	0.000000	0.000000	0.000000
peter_rabbit	2018	0.291995	0.731638	0.000000	
peter_rabbit_2	2021	0.164076	0.675355	0.000000	
petes.dragon_tt0076538	1977	0.000000		0.000000	
pinocchio_tt0032910	1940	0.000000	0.000000	0.000000	0.000000
planes_tt1691917	2013	0.006993	0.034221	0.000000	
pocahontas_tt0114148	1995	0.092283	0.190789	0.092283	0.190789
pokmon.the.firs_tt0190641	1998	0.236548	0.453307	0.122843	0.335180
polar.express_tt0338348	2004	0.000000	0.000000	0.000000	0.000000
prince.of.egypt_tt0120794	1998	0.159965	0.406667	0.159965	0.406667
princess.and.th_tt0780521	2009	0.176056	0.256937	0.120423	0.296360
puss.in.boots.t_tt3915174	2022	0.133969	0.293612	0.039238	0.180879
puss.in.boots_tt0448694	2011	0.033784	0.092251	0.023649	0.183246
ralph.breaks.th_tt5848272	2018	0.250325	0.365970	0.250325	0.365970
rango_tt1192628	2011	0.038537	0.106115	0.000000	
ratatouille_tt0382932	2007	0.000000	0.000000	0.000000	0.000000
raya.and.the.la_tt5109280	2021	0.491049	0.572707	0.375959	0.456522
rescuers_tt0076618	1977	0.130776	0.200267	0.000000	0.000000
rio.2_tt2357291	2014	0.164548	0.308609	0.008475	0.061224
rio_tt1436562	2011	0.036485	0.070301	0.020104	0.097122
rise.of.the.gua_tt1446192	2012	0.034188	0.104283	0.011600	0.042601
road.to.el.dora_tt0138749	2000	0.000000	0.000000	0.000000	0.000000
robin.hood_tt0070608	1973	0.077551	0.273775	0.000000	
robots_tt0358082	2005	0.066976	0.152108	0.000000	
rons.gone.wrong_tt7504818	2021	0.038961	0.114964	0.038961	0.114964
rugrats.movie_tt0134067	1998	0.418166	0.646358	0.418166	0.646358
sausage.party_tt1700841	2016	0.130790	0.282353	0.000000	0.000000
secret.life.of._tt2709768	2016	0.096717	0.282383	0.000000	0.000000
secret.life.of._tt5113040	2019	0.124319	0.281893	0.019964	0.180328
shark.tale_tt0307453	2004	0.094913	0.251509	0.000000	
shrek.2_tt0298148	2004	0.149813	0.290276	0.091386	0.248980
shrek.forever.a_tt0892791	2010	0.106730	0.236090	0.034670	0.269841
shrek.the.third_tt0413267	2007	0.255725	0.495562	0.198473	0.538302
shrek_tt0126029	2001	0.034263	0.079926	0.023904	0.062762
simpsons.movie_tt0462538	2007	0.296420	0.573269	0.296420	0.573269
sing.2_tt6467266	2021	0.217532	0.347510	0.000000	
sing_tt3470600	2016	0.129526	0.240933	0.000000	
sleeping.beauty_tt0053285	1959	0.383489	0.548571	0.383489	0.548571
smallfoot_tt6182908	2018	0.123105	0.284314	0.000000	0.000000
smurfs.2_tt2017020	2013	0.178108	0.521739	0.000000	0.000000
