movie_id	year	pct_protagonist_female	pct_antagonist_female	pct_protagonist_male	pct_antagonist_male
kung.fu.panda.4_tt21692408	2024	77.24	22.76	100.00	0.00
kung.fu.panda_tt0441773	2008	100.00	0.00	92.94	7.06
lady.and.the.tr_tt0048280	1955	94.73	5.27	99.93	0.07
land.before.tim_tt0095489	1988	100.00	0.00	100.00	0.00
lego.batman.mov_tt4116284	2017	24.20	75.80	82.46	17.54
lego.movie.2.th_tt3513498	2019	66.48	33.52	62.68	37.32
lego.movie_tt1490017	2014	100.00	0.00	78.82	21.18
lego.ninjago.mo_tt3014284	2017	100.00	0.00	74.91	25.09
lightyear_tt10298810	2022	96.44	3.56	97.60	2.40
lilo..stitch_tt0275847	2002	91.05	8.95	58.05	41.95
lion.king_tt0110357	1994	80.04	19.96	82.65	17.35
lion.king_tt6105098	2019	81.03	18.97	81.57	18.43
little.mermaid_tt0097757	1989	75.51	24.49	100.00	0.00
lorax_tt1482459	2012	100.00	0.00	86.41	13.59
lord.of.the.rin_tt0077869	1978	100.00	0.00	93.46	6.54
madagascar.3.eu_tt1277953	2012	74.53	25.47	100.00	0.00
madagascar.esca_tt0479952	2008	100.00	0.00	91.07	8.93
madagascar_tt0351283	2005	100.00	0.00	97.37	2.63
meet.the.robins_tt0396555	2007			81.66	18.34
megamind_tt1001526	2010	100.00	0.00	72.87	27.13
migration_tt6495056	2023	100.00	0.00	100.00	0.00
minions.the.ris_tt5113044	2022	56.52	43.48	100.00	0.00
minions_tt2293640	2015	0.00	100.00	90.90	9.10
moana_tt13622970	2024	91.09	8.91	98.72	1.28
moana_tt3521164	2016	100.00	0.00	91.30	8.70
monster.house_tt0385880	2006	92.22	7.78	100.00	0.00
monsters.inc._tt0198781	2001	100.00	0.00	84.93	15.07
monsters.univer_tt1453405	2013	0.00	100.00	95.47	4.53
monsters.vs..al_tt0892782	2009	100.00	0.00	70.75	29.25
mr..peabody..sh_tt0864835	2014	82.54	17.46	100.00	0.00
mufasa.the.lion_tt13186482	2024	82.17	17.83	60.64	39.36
mulan_tt0120762	1998	100.00	0.00	72.60	27.40
nightmare.befor_tt0107688	1993	84.86	15.14	73.71	26.29
nut.job_tt1821658	2014	100.00	0.00	67.00	33.00
oliver..company_tt0095776	1988	100.00	0.00	93.69	6.31
one.hundred.and_tt0055254	1961	52.70	47.30	76.44	23.56
onward_tt7146812	2020	100.00	0.00	95.19	4.81
open.season_tt0400717	2006			90.16	9.84
over.the.hedge_tt0327084	2006	58.61	41.39	91.60	8.40
paw.patrol.the._tt11832046	2021	100.00	0.00	80.53	19.47
paw.patrol.the._tt15837338	2023	76.79	23.21	87.49	12.51
peanuts.movie_tt2452042	2015	50.67	49.33	100.00	0.00
penguins.of.mad_tt1911658	2014	100.00	0.00	90.34	9.66
peter_rabbit	2018	100.00	0.00	100.00	0.00
peter_rabbit_2	2021	100.00	0.00	77.63	22.37
petes.dragon_tt0076538	1977			100.00	0.00
pinocchio_tt0032910	1940	100.00	0.00	82.32	17.68
planes_tt1691917	2013	100.00	0.00	94.76	5.24
pocahontas_tt0114148	1995	100.00	0.00	71.50	28.50
pokmon.the.firs_tt0190641	1998	100.00	0.00	83.23	16.77
polar.express_tt0338348	2004	100.00	0.00	100.00	0.00
prince.of.egypt_tt0120794	1998	100.00	0.00	74.70	25.30
princess.and.th_tt0780521	2009	100.00	0.00	66.80	33.20
puss.in.boots.t_tt3915174	2022	47.78	52.22	67.27	32.73
puss.in.boots_tt0448694	2011	86.89	13.11	61.77	38.23
ralph.breaks.th_tt5848272	2018	100.00	0.00	100.00	0.00
rango_tt1192628	2011	95.14	4.86	81.96	18.04
ratatouille_tt0382932	2007	100.00	0.00	77.84	22.16
raya.and.the.la_tt5109280	2021	85.46	14.54	100.00	0.00
rescuers_tt0076618	1977	78.09	21.91	81.74	18.26
rio.2_tt2357291	2014	88.54	11.46	86.89	13.11
rio_tt1436562	2011	100.00	0.00	75.86	24.14
rise.of.the.gua_tt1446192	2012	100.00	0.00	90.61	9.39
road.to.el.dora_tt0138749	2000	100.00	0.00	87.29	12.71
robin.hood_tt0070608	1973	100.00	0.00	51.36	48.64
robots_tt0358082	2005	71.23	28.77	100.00	0.00
rons.gone.wrong_tt7504818	2021			77.90	22.10
rugrats.movie_tt0134067	1998	100.00	0.00	100.00	0.00
sausage.party_tt1700841	2016	93.68	6.32	78.51	21.49
secret.life.of._tt2709768	2016	100.00	0.00	86.04	13.96
secret.life.of._tt5113040	2019	100.00	0.00	96.10	3.90
shark.tale_tt0307453	2004	73.31	26.69	76.28	23.72
shrek.2_tt0298148	2004	58.19	41.81	74.52	25.48
shrek.forever.a_tt0892791	2010	95.10	4.90	79.14	20.86
shrek.the.third_tt0413267	2007	68.80	31.20	82.66	17.34
shrek_tt0126029	2001	89.90	10.10	90.23	9.77
simpsons.movie_tt0462538	2007	100.00	0.00	84.38	15.62
sing.2_tt6467266	2021	100.00	0.00	86.89	13.11
sing_tt3470600	2016	96.05	3.95	85.20	14.80
sleeping.beauty_tt0053285	1959	90.15	9.85	98.37	1.63
smallfoot_tt6182908	2018	100.00	0.00	100.00	0.00
smurfs.2_tt2017020	2013	50.75	49.25	73.87	26.13
smurfs_tt0472181	2011	100.00	0.00	94.03	5.97
snow.white.and._tt0029583	1937	67.18	32.82	99.32	0.68
south.park.bigg_tt0158983	1999	0.00	100.00	91.97	8.03
space.jam.a.new_tt3554046	2021			97.62	2.38
space.jam_tt0117705	1996	100.00	0.00	84.44	15.56
spiderman.acros_tt9362722	2023	100.00	0.00	73.64	26.36
spiderman.into._tt4633694	2018	89.71	10.29	93.07	6.93
spies.in.disgui_tt5814534	2019			88.02	11.98
spirit.stallion_tt0166813	2002	100.00	0.00	93.36	6.64
spirit.untamed_tt11084896	2021	100.00	0.00	86.46	13.54
spongebob.squar_tt0345950	2004	100.00	0.00	97.79	2.21
storks_tt4624424	2016	100.00	0.00	69.59	30.41
strange.world_tt10298840	2022	54.86	45.14	100.00	0.00
super.mario.bro_tt6718170	2023	100.00	0.00	83.11	16.89
surfs.up_tt0423294	2007	100.00	0.00	93.35	6.65
sword.in.the.st_tt0057546	1963	0.00	100.00	78.11	21.89
tangled_tt0398286	2010	75.64	24.36	91.93	8.07
tarzan_tt0120855	1999	100.00	0.00	75.42	24.58
teenage.mutant._tt8589698	2023	88.21	11.79	98.30	1.70
tmnt_2014	2014			97.12	2.88
tmnt_tt0453556	2007	73.78	26.22	85.92	14.08
toy.story.2_tt0120363	1999	100.00	0.00	88.79	11.21
toy.story.3_tt0435761	2010	100.00	0.00	75.31	24.69
toy.story.4_tt1979376	2019	63.84	36.16	100.00	0.00
toy.story_tt0114709	1995	100.00	0.00	94.74	5.26
transformers.a._tt8864596	2024	90.73	9.27	58.18	41.82
trolls.band.tog_tt14362112	2023	82.83	17.17	91.36	8.64
trolls_tt1679335	2016	84.33	15.67	65.96	34.04
turbo_tt1860353	2013			73.28	26.72
up_tt1049413	2009	100.00	0.00	91.13	8.87
wallace..gromit_tt0312004	2005	100.00	0.00	80.76	19.24
walle_tt0910970	2008	100.00	0.00	97.81	2.19
weathering.with_tt9426210	2019	100.00	0.00	100.00	0.00
who.framed.roge_tt0096438	1988	100.00	0.00	100.00	0.00
wild.robot_tt29623480	2024	100.00	0.00	98.34	1.66
wish_tt11304740	2023	100.00	0.00	60.38	39.62
wreckit.ralph_tt1772341	2012	100.00	0.00	81.07	18.93
zootopia.2_tt26443597	2025	100.00	0.00	79.33	20.67
zootopia_tt2948356	2016	90.66	9.34	90.99	9.01
