movie_id	imdb_id	movie_name	imdb_date	production_companies	franchise
lego.ninjago.mo_tt3014284	tt3014284	The Lego Ninjago Movie	2017	Animal Logic; LEGO System A/S; Lin Pictures	LEGO Ninjago
grinch_tt2709692	tt2709692	The Grinch	2018	Universal Pictures; Illumination Entertainment; Dr. Seuss Enterprises	Grinch
hotel.transylva_tt5220122	tt5220122	Hotel Transylvania 3: Summer Vacation	2018	Sony Pictures Animation; Media Rights Capital (MRC); Rough Draft Korea	Hotel Transylvania
incredibles.2_tt3606756	tt3606756	Incredibles 2	2018	Walt Disney Pictures; Pixar Animation Studios	Incredibles
peter_rabbit	tt5117670	Peter Rabbit	2018	Columbia Pictures; 2.0 Entertainment; Animal Logic	Peter Rabbit
ralph.breaks.th_tt5848272	tt5848272	Ralph Breaks the Internet	2018	Walt Disney Pictures; Walt Disney Animation Studios	Wreck-It Ralph
smallfoot_tt6182908	tt6182908	Smallfoot	2018	Warner Bros.; Zaftig Films; Warner Bros. Animation	Smallfoot
spiderman.into._tt4633694	tt4633694	Spider-Man: Into the Spider-Verse	2018	Columbia Pictures; Marvel Entertainment; Sony Pictures Animation	Spider-Man
abominable_tt6324278	tt6324278	Abominable	2019	DreamWorks Animation; Pearl Studio; China Film Co-Production	Abominable
addams.family_tt1620981	tt1620981	The Addams Family	2019	Metro-Goldwyn-Mayer (MGM); Cinesite Animation; BRON Studios	Addams Family
frozen.ii_tt4520988	tt4520988	Frozen II	2019	Walt Disney Pictures; Walt Disney Animation Studios	Frozen
how.to.train.yo_tt2386490	tt2386490	How to Train Your Dragon: The Hidden World	2019	DreamWorks Animation	How to Train Your Dragon
lego.movie.2.th_tt3513498	tt3513498	The Lego Movie 2: The Second Part	2019	Warner Bros.; Warner Bros. Pictures Animation; LEGO System A/S	LEGO Movie
lion.king_tt6105098	tt6105098	The Lion King	2019	Walt Disney Pictures; Fairview Entertainment	Lion King
secret.life.of._tt5113040	tt5113040	The Secret Life of Pets 2	2019	Universal Pictures; Illumination Entertainment; Dentsu	Secret Life of Pets
spies.in.disgui_tt5814534	tt5814534	Spies in Disguise	2019	20th Century Fox Animation; 20th Century Fox; Blue Sky Studios	
toy.story.4_tt1979376	tt1979376	Toy Story 4	2019	Walt Disney Pictures; Pixar Animation Studios	Toy Story
weathering.with_tt9426210	tt9426210	Weathering with You	2019	"Weathering With You" Film Partners, Beijing Enlight Pictures, China Film Group Corporation (CFGC)	
croods.a.new.ag_tt2850386	tt2850386	The Croods: A New Age	2020	DreamWorks Animation; Dentsu	Croods
onward_tt7146812	tt7146812	Onward	2020	Walt Disney Pictures; Pixar Animation Studios	Onward
addams.family.2_tt11125620	tt11125620	The Addams Family 2	2021	BRON Studios; BermanBraun; Bron Creative	Addams Family
boss.baby.2.fam_tt6932874	tt6932874	The Boss Baby: Family Business	2021	DreamWorks Animation	Boss Baby
encanto_tt2953050	tt2953050	Encanto	2021	Walt Disney Pictures; Walt Disney Animation Studios; Hurwitz Creative	Encanto
paw.patrol.the._tt11832046	tt11832046	PAW Patrol: The Movie	2021	Paramount Pictures; Spin Master Entertainment; Nickelodeon Movies	PAW Patrol
peter_rabbit_2	tt8376234	Peter Rabbit 2: The Runaway	2021	Columbia Pictures; 2.0 Entertainment; Animal Logic	Peter Rabbit
raya.and.the.la_tt5109280	tt5109280	Raya and the Last Dragon	2021	Walt Disney Pictures; Walt Disney Animation Studios	Raya and the Last Dragon
rons.gone.wrong_tt7504818	tt7504818	Ron's Gone Wrong	2021	20th Century Studios; TSG Entertainment; Locksmith Animation	
sing.2_tt6467266	tt6467266	Sing 2	2021	Universal Pictures; Illumination Entertainment; Dentsu	Sing
space.jam.a.new_tt3554046	tt3554046	Space Jam: A New Legacy	2021	Warner Bros.; Warner Bros. Pictures Animation; Proximity Media	Looney Tunes
spirit.untamed_tt11084896	tt11084896	Spirit Untamed	2021	DreamWorks Animation; Jellyfish Pictures	Spirit: Stallion of the Cimarron
bad.guys_tt8115900	tt8115900	The Bad Guys	2022	DreamWorks Animation	Bad Guys
bobs.burgers.mo_tt7466442	tt7466442	The Bob's Burgers Movie	2022	20th Century Studios; 20th Century Animation; 20th Television Animation	Bob's Burgers
dc.league.of.su_tt8912936	tt8912936	DC League of Super-Pets	2022	Warner Bros.; Warner Bros. Pictures Animation; DC Entertainment	DC Universe
lightyear_tt10298810	tt10298810	Lightyear	2022	Walt Disney Pictures; Pixar Animation Studios	Toy Story
minions.the.ris_tt5113044	tt5113044	Minions: The Rise of Gru	2022	Universal Pictures; Illumination Entertainment	Despicable Me
puss.in.boots.t_tt3915174	tt3915174	Puss in Boots: The Last Wish	2022	DreamWorks Animation; Dentsu	Shrek
strange.world_tt10298840	tt10298840	Strange World	2022	Walt Disney Pictures; Walt Disney Animation Studios; Hurwitz Creative	
elemental_tt15789038	tt15789038	Elemental	2023	Walt Disney Pictures; Pixar Animation Studios; Hurwitz Creative	
migration_tt6495056	tt6495056	Migration	2023	Universal Pictures; Illumination Entertainment; Dentsu	
paw.patrol.the._tt15837338	tt15837338	PAW Patrol: The Mighty Movie	2023	Spin Master Entertainment; Nickelodeon Movies; Paramount Pictures	PAW Patrol
spiderman.acros_tt9362722	tt9362722	Spider-Man: Across the Spider-Verse	2023	Columbia Pictures; Marvel Entertainment; Sony Pictures Animation	Spider-Man
super.mario.bro_tt6718170	tt6718170	The Super Mario Bros. Movie	2023	Universal Pictures; Nintendo; Illumination Entertainment	Super Mario Bros.
teenage.mutant._tt8589698	tt8589698	Teenage Mutant Ninja Turtles: Mutant Mayhem	2023	Image Comics; Mikros Animation; Nickelodeon Animation Studios	Teenage Mutant Ninja Turtles
trolls.band.tog_tt14362112	tt14362112	Trolls Band Together	2023	DreamWorks Animation; Universal Pictures	Trolls
wish_tt11304740	tt11304740	Wish	2023	Walt Disney Pictures; Walt Disney Animation Studios; Hurwitz Creative	Wish
despicable.me.4_tt7510222	tt7510222	Despicable Me 4	2024	Universal Pictures; Illumination Entertainment	Despicable Me
garfield_tt5779228	tt5779228	The Garfield Movie	2024	Columbia Pictures; Alcon Entertainment; Double Negative (DNEG)	Garfield
imaginary.frien_tt11152168	tt11152168	IF	2024	Paramount Pictures; Sunday Night; Maximum Effort	
inside.out.2_tt22022452	tt22022452	Inside Out 2	2024	Walt Disney Pictures; Pixar Animation Studios	Inside Out
kung.fu.panda.4_tt21692408	tt21692408	Kung Fu Panda 4	2024	DreamWorks Animation; China Film Group Corporation (CFGC); Dentsu	Kung Fu Panda
moana_tt13622970	tt13622970	Moana 2	2024	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Animation Canada	Moana
mufasa.the.lion_tt13186482	tt13186482	Mufasa: The Lion King	2024	Walt Disney Pictures	Lion King
transformers.a._tt8864596	tt8864596	Transformers One	2024	Paramount Animation; Hasbro Entertainment; New Republic Pictures	Transformers
wild.robot_tt29623480	tt29623480	The Wild Robot	2024	Dentsu; DreamWorks Animation	Wild Robot
bad.guys.2_tt30017619	tt30017619	The Bad Guys 2	2025	Universal Pictures; DreamWorks Animation; Scholastic Entertainment	Bad Guys
dog.man_tt10954718	tt10954718	Dog Man	2025	DreamWorks Animation; Dentsu	
elio_tt4900148	tt4900148	Elio	2025	Walt Disney Pictures; Pixar Animation Studios	
king.of.kings_tt7967302	tt7967302	The King of Kings	2025	Mofac Studios	
zootopia.2_tt26443597	tt26443597	Zootopia 2	2025	Walt Disney Pictures; Walt Disney Animation Studios	Zootopia
